task_id,title,status,priority,due_date,overdue_days,assigned_to,project_name,category_name
39,  HookTest  ,pending,low,2020-01-01 00:00:00,2296,,（未設定）,（未設定）
23,Staging models – orders,in_progress,medium,2026-03-10,36,Karl,Data Warehouse,Database
4,Landing page animation,in_progress,medium,2026-03-15,31,Alice,Web Redesign,Frontend
11,Migrate /auth endpoints,in_progress,urgent,2026-03-20,26,Eve,API v2 Migration,Security
5,SEO metadata & OG tags,pending,low,2026-03-20,26,Carol,Web Redesign,Frontend
26,JWT issuance service,in_progress,urgent,2026-03-25,21,Leo,Auth Overhaul,Backend
7,Accessibility audit (WCAG 2.1),review,high,2026-03-25,21,Carol,Web Redesign,Testing
12,Migrate /users endpoints,in_progress,high,2026-03-25,21,Frank,API v2 Migration,Backend
37,Renew wildcard TLS certificate,pending,urgent,2026-03-28,18,Leo,（未設定）,Security
27,OAuth2 provider integration,in_progress,high,2026-03-28,18,Mia,Auth Overhaul,Backend
36,Upgrade Node.js to v22 LTS,pending,medium,2026-03-31,15,Frank,（未設定）,DevOps
24,Redshift cluster sizing,pending,low,2026-04-01,14,Judy,Data Warehouse,DevOps
15,Integration test suite,review,high,2026-04-01,14,Dave,API v2 Migration,Testing
28,Session migration script,pending,urgent,2026-04-05,10,Leo,Auth Overhaul,Database
13,Migrate /orders endpoints,pending,high,2026-04-05,10,Grace,API v2 Migration,Backend
29,Pen-test (auth scope),pending,urgent,2026-04-10,5,Dave,Auth Overhaul,Security
6,Cross-browser testing,pending,medium,2026-04-10,5,Dave,Web Redesign,Testing
