task_id,title,status,priority,due_date,overdue_days,assigned_to,project_name,category_name
39,  HookTest  ,pending,low,2020-01-01 00:00:00,2289,,（未設定）,（未設定）
23,Staging models – orders,in_progress,medium,2026-03-10,29,Karl,Data Warehouse,Database
4,Landing page animation,in_progress,medium,2026-03-15,24,Alice,Web Redesign,Frontend
11,Migrate /auth endpoints,in_progress,urgent,2026-03-20,19,Eve,API v2 Migration,Security
5,SEO metadata & OG tags,pending,low,2026-03-20,19,Carol,Web Redesign,Frontend
26,JWT issuance service,in_progress,urgent,2026-03-25,14,Leo,Auth Overhaul,Backend
7,Accessibility audit (WCAG 2.1),review,high,2026-03-25,14,Carol,Web Redesign,Testing
12,Migrate /users endpoints,in_progress,high,2026-03-25,14,Frank,API v2 Migration,Backend
37,Renew wildcard TLS certificate,pending,urgent,2026-03-28,11,Leo,（未設定）,Security
27,OAuth2 provider integration,in_progress,high,2026-03-28,11,Mia,Auth Overhaul,Backend
36,Upgrade Node.js to v22 LTS,pending,medium,2026-03-31,8,Frank,（未設定）,DevOps
24,Redshift cluster sizing,pending,low,2026-04-01,7,Judy,Data Warehouse,DevOps
15,Integration test suite,review,high,2026-04-01,7,Dave,API v2 Migration,Testing
28,Session migration script,pending,urgent,2026-04-05,3,Leo,Auth Overhaul,Database
13,Migrate /orders endpoints,pending,high,2026-04-05,3,Grace,API v2 Migration,Backend
